Gujrati,marathi
નારી સમાનતા માટે એક અંતિમ પ્રયત્ન,महिला समानतेसाठी शेवटचा प्रयत्न
"ગયા વર્ષે, વર્લ્ડ ઇકોનોમિક ફોરમે આગાહી કરી હતી કે દરેક રાષ્ટ્રમાં લિંગ સમાનતાને હાંસલ કરવા માટે પાંચ પેઢીઓનો સમય લાગશે. હવે વર્લ્ડ બેંક આ ટાઇમ ફ્રેમને ઝડપથી વેગવાન બનાવવા માગે છે.","मागील वर्षी, जागतिक आर्थिक मंचाने असे भाकीत केले होते की प्रत्येक देशामध्ये लिंगभाव समानता यायला पाच पिढ्या जाव्या लागतील. आता जागतिक बँकेला या प्रक्रियेला वेग द्यायचा आहे."
"આંતરરાષ્ટ્રીય નાણાકીય સંસ્થા 2030 સુધી છોકરીઓ અને મહિલાઓના અધિકારો અને આર્થિક તકોને મહત્વપૂર્ણ રીતે આગળ વધારવાના હેતુથી એક વ્યૂહરચના શરૂ કરવા માટે તૈયાર છે. આ યોજના નાણાકીય, ટેક્નોલોજીકલ નવીનતા અને સાર્વજનિક પૉલિસી અને કાયદામાં ફેરફારોના ઍક્સેસ દ્વારા સમાવેશિતા અને લવચીકતામાં સુધારણા કરવા પર ફોકસ કરે છે.","2030 पर्यंत मुली आणि स्त्रियांसाठी अधिकार आणि आर्थिक संधींमध्ये ठळक प्रगती घडवून आणण्याच्या ध्येयाने धोरणास प्रारंभ करण्यास आंतरराष्ट्रीय वित्त संस्था सज्ज झाली आहे. वित्त पुरवठा, तांत्रिक कल्पकता आणि सार्वजनिक धोरण व कायद्यांच्या उपलब्धतेद्वारे समावेश आणि लवचिकतेत सुधार यावर ही योजना केंद्रित आहे."
"તાજેતરની શોધ દર્શાવે છે કે સોશિયલ કાયદા અને માનસિકતા બન્ને બદલાઈ શકે છે, ઉદાહરણ તરીકે, પુરુષો અને છોકરાઓને શામેલ કરવાથી લૈંગિક સમાનતા માટે તેમનો સપોર્ટ અને સમર્થન વધી શકે છે, યોજનાની સલાહકારી રૂપરેખામાં કહેવામાં આવ્યું છે. ""સોશિયલ કાયદા અને માનસિકતા કેવી રીતે દૈનિક અપેક્ષાઓ, પ્રાથમિકતાઓ અને પ્રથાઓને આકાર આપે છે ... તેની વધુ સારી સમજની સાથે સકારાત્મક લૈંગિક પરીણામોને વેગ આપી શકાય છે અને વધારી શકાય છે.""","ताज्या संशोधनातून असे दिसून आले आहे की सामाजिक रुढी आणि दृष्टिकोन बदलू शकतात, उदाहरणार्थ, लिंगभाव समानतेबाबत योजना राज्यांचा सल्ला देणारा मसूदा तयार करण्यामध्ये पुरुष आणि मुलांना सहभागी करून घेतल्यास त्यांची मदत वाढेल आणि हे त्यांच्याही गळी उतरेल. सकारात्मक लिंगभाव निष्पत्तीला वेग देता येईल आणि ... दैनंदिन अपेक्षा, प्राधान्ये आणि पद्धतींना सामाजिक रुढी आणि दृष्टिकोन कसा आकार देतात याबाबत जास्त चांगली समज निर्माण होईल.'"
"ગ્રામીણ મહિલાઓ માટે બેંક લોન અથવા છોકરીઓ માટે શાળામાં નામ નોંધાવવાની સરખામણીમાં વિચારોમાં પરિવર્તનને માપવું વધુ મુશ્કેલ છે. તેમ છતાં, એ વાતના ઘણા પુરાવા છે કે મહિલા એજન્સી કોઈપણ મુશ્કેલ કાર્યો કરી શકે છે. ઉદાહરણ તરીકે, ઈરાનમાં, મહિલાઓએ તે કાયદાઓનું પાલન કરવાનો ઇનકાર કર્યો છે જે તેમને પોતાના વાળ ઢાંકવા માટે બાધ્ય કરે છે, જેનાથી તેમણે ઇસ્લામી સરકાર માટે 40 વર્ષમાં સૌથી મોટું જોખમ ઉત્પન્ન કર્યું છે. ભારત જેવી સરકારમાં મહિલા પ્રતિનિધિત્વ માટે ન્યૂનતમ ક્વોટાવાળા 130 દેશોમાંથી કેટલાકમાં, મહિલા મતદાન અને રાજકીય સક્રિયતા સામે પુરુષોનો પ્રતિરોધ ઓછો થઈ ગયો છે.","ग्रामीण महिलांसाठी बँकेची कर्जे किंवा शाळेत मुलींची नावनोंदणी करण्यापेक्षा विचारात बदल घडवून आणणे अवघड आहे. तरीही असे अनेक पुरावे आहेत की महिला ठरवले तर काहीही करू शकतात, अगदी पर्वतदेखील हलवू शकतात. उदाहरणार्थ, इराणमध्ये, केस झाकायला लावणाऱ्या कायद्यांचे पालन करण्यास नकार देऊन महिलांनी 40 वर्षांत प्रथमच इस्लामी शासनाला हादरवले आहे. साधारण 130 देशांपैकी, भारतासारख्या काही देशांत जेथे महिलांसाठी सरकारमध्ये किमान राखीव जागा आहेत, तेथे स्त्रियांना मतदानाचा हक्क आणि राजकीय चळवळींमध्ये स्थान मिळण्याबाबत पुरुषांचा विरोध मावळला आहे."
"કેટલાક ગ્રામીણ આફ્રિકન સમુદાયોમાં, નાગરિક સામાજિક સંસ્થાઓ સ્વાસ્થ્ય શિક્ષણ વડે એક હાનિકારક વિધિને બદલી રહી છે. આવા એક પ્રોગ્રામે કેન્યાના મપારાશા ગામના મસાઇના નેતા કમાન્ડા તિમાયીઓને મહિલાના જનનાંગ વિચ્છેદન વિશેના પોતાના વિચારને બદલવામાં મદદ કરી. તેણે લે મોન્ડેને કહ્યું કે તે ""અજ્ઞાનતાથી ઉભર્યા છે"" અને આ પ્રથા છોડી દેશે.","काही ग्रामीण आफ्रिकन समुदायांमध्ये, नागरी समाज संस्था धार्मिक प्रथा मोडून आरोग्य शिक्षणास प्राधान्य देत आहेत. अशाच एका कार्यक्रमामुळे केनियातील मापाराशा गावातल्या मसाईंच्या नेता कमांडा तिमायीओचा स्त्रियांच्या गुप्तांगाचे विच्छेदन करण्याबाबतचा दृष्टिकोन बदलला. त्याने ली मोंडे यांना सांगितले की त्यांचे ""अज्ञान दूर झाले आहे"" आणि आता ती प्रथा बंद केली."
"વર્લ્ડ બેંકે અન્ય ઉદાહરણ આપ્યા છે. 1970થી 2022 સુધી, બાંગ્લાદેશમાં મહિલા સાક્ષરતા દર ચારગણો વધી ગયો છે અને મજૂર બળમાં મહિલાઓની પ્રતિભાગીતા બમણી થઈ ગઈ છે. તેનું કુલ ડોમેસ્ટિક પ્રોડક્ટ ત્રણગણું વધી ગયું છે. પરિવર્તને તેનું પોતાનું મોમેન્ટમ એકત્રિત કર્યું અને તેમના પોતાના સમુદાયોની અંદરથી જ શિક્ષકો અને સ્વાસ્થ્ય કામદારો તરીકે પગારદાર મહિલાઓની નિયુક્તિએ વિશ્વાસ વધાર્યો ""અને મહિલાઓની ગતિશીલતા અને કાર્યને વધુ સોશિયલ રીતે સ્વીકાર્ય બનાવ્યું.""","जागतिक बँकेने इतर उदाहरणे दिली आहेत. 1970 ते 2022 या काळात, बांग्लादेशात महिला साक्षरतेचा दर चौपट वाढला आहे आणि मनुष्य बळातील महिलांचा सहभाग दुप्पट झाला आहे. देशाचे स्थूल देशांतर्गत उत्पादन तिप्पटीहून जास्त वाढले आहे. या बदलाने स्वतःच दिशा धरली आहे. त्यांच्याच समाजातील महिलांना शिक्षिका आणि आरोग्य सेविका म्हणून पगारी नेमल्यामुळे विश्वास वाढला आहे ""आणि महिलांमधील बाहेर पडणे आणि काम समाजामध्ये जास्त स्वीकारले जाऊ लागले आहे."""
"બેંકનો પ્લાન તેવા ધોરણો અને સંસ્થાઓને લક્ષિત કરવાનો છે જેમાં પેઢીગત ફેરફારોની આવશ્યકતા હોઈ શકે છે. મહિલાઓ માટે આર્થિક સશક્તિકરણનું સમર્થન કરનારા સુધારા અને મૉડલ તરીકે પોતાને સ્થાપિત કરવામાં રવાંડાને બે દાયકાથી વધુ સમય લાગ્યો. 2015માં પાયાગત સુધાર માટે તર્ક કરતા રવાંડાના રાષ્ટ્રપતિ પૉલ કાગામેએ કહ્યું, ""જો મહિલાઓને પાછળ રાખવામાં આવે તો કોઈને પણ કંઈ ફાયદો થતો નથી"". ""આપણે ફક્ત કાયદો જ નહીં પણ આપણી માનસિકતા બદલવી પડશે.""","बँकेच्या योजना अजूनही जुन्या पिढीतील अशा रुढी व प्रथा ज्यांमध्ये बदल आवश्यक आहेत त्यांना लक्ष्य करतील. महिलांच्या आर्थिक सबलीकरणास चालना देणारा देश म्हणून स्वतःला प्रस्थापित करण्यास रवांडाला दोन दशकांहून जास्त काळ लागला आहे. 2015 मधील जमीन सुधारणेबाबत युक्तीवाद करताना रवांडाचे राष्ट्राध्यक्ष पॉल कागामे म्हणाले, ""स्त्रियांना मागे रोखून ठेवल्यास त्याचा कोणालाही फायदा होत नाही. आपण केवळ कायदेच नव्हे, तर दृष्टिकोनही बदलला पाहिजे."""
વર્લ્ડ બેંકને તે મેસેજ ફેલાવાની આશા છે.,हा संदेश पसरवू अशी जागतिक बँकेला आशा आहे.
"જર્મન ખેડૂતો અને ટ્રેન ડ્રાઇવરો, જર્મનીના માલિકોને ડરાવી રહ્યાં છે",जर्मनीचे शेतकरी आणि ट्रेन चालक जर्मनीतील मालक वर्गाला घाबरवत आहेत
"જર્મનીમાં જ્યાં કર્મચારી અને માલિક મળીને કેટલીય કંપનીઓ ચલાવે છે, મોટી હડતાળ અસામાન્ય વાત છે. મોટી હડતાળની લહેર લગભગ વણસાંભળેલી બાબત છે. અત્યારે ""સહ-સંકલ્પ""નો દેશ એકસાથે આઠ દિવસના ""ઍક્શન વીક""નો સામનો કરી રહ્યો છે, જેમાં રોષે ભરાયેલા ખેડૂતોએ ટ્રેક્ટરો વડે રસ્તો-બંધ કરી દીધો છે, રેલવે કર્મચારીઓની ત્રણ દિવસીય હડતાળ અને આ ઉપરાંત ડૉક્ટરોની હડતાળ, જેમણે પહેલાંથી જ ક્રિસમસ અને નવા વર્ષનો દિવસ વચ્ચે સર્જરીઓ બંધ રાખી છે. આ મિસ્ટગાબેલ્મોપ (પિચફોર્ક મોબ), જેવું કે લોકો તેને નામ આપી રહ્યાં છે, આગામી વર્ષોમાં જર્મનીના સામંજસ્યપૂર્ણ શ્રમ સંબંધોનું પરીક્ષણ કરશે.","कामगार आणि मालक संयुक्तपणे अनेक कंपन्या चालवत असलेल्या जर्मनीमध्ये सहसा मोठा संप होत नाही. मोठ्या संपांची लाट क्वचितच कानावर येते. सध्या ""सहनिर्धाराच्या"" या देशामध्ये ट्रॅक्टर्ससह रास्ता रोको करणाऱ्या प्रक्षुब्ध शेतकऱ्यांचा ""कारवाईचा आठवडा"" चालू झाल्याचा आठवा दिवस आहे, रेल्वे कर्मचाऱ्यांचा तीन दिवसांचा संप चालू आहे, त्यावर कळस म्हणजे डॉक्टरांनीही संपाचा बडगा उगारला असून नाताळ आणि नववर्ष दिनाला शस्त्रक्रिया बंद केल्या आहेत. ज्याला काही जणांनी मिस्टगाबेलमॉप (पिचफोर्क मॉब) म्हणले आहे, त्यामुळे आगामी वर्षामध्ये जर्मनीतील सुसंवादी कामगार संबंधाचा कस लागेल."
"આ વિરોધ પ્રદર્શન, ખેતીમાં વપરાતા ડીઝલ ઇંધણ માટે સબ્સિડી સમાપ્ત કરવા અને ખેતીના વાહનો માટે કાર કરમાંની છૂટમાં કપાત કરવાના સરકારના નિર્ણયને લીધે શરૂ થયું છે. આ પગલાંઓએ ખેડૂતોને એકબાજુએ કરી દીધા. આનાથી અન્ય નારાજ કામદારોને પણ ભેગા કરી દીધા જે પહેલાંથી જ ફુગાવો, મંદી અને સરકારની જાતે લાગુ કરાયેલી મિતવ્યયિતાના દબાણ હેઠળ તનાવગ્રસ્ત હતા. 9મી જાન્યુઆરીના રોજ, રાષ્ટ્રીય રેલવે ડૉયેચ બાનમાં માલગાડીઓ અને પેસેન્જર ટ્રેનના ડ્રાઇવરોએ કામના કલાકો અને પગારની બાબત પર હડતાળ શરૂ કરી દીધી.","शेतीमध्ये वापरल्या जाणाऱ्या डिझेल इंधनासाठी अनुदान समाप्त करण्याच्या आणि कृषी वाहनांना कार करातून दिली जाणारी सवलत बंद करण्याच्या शासनाच्या निर्णयाच्या स्पष्ट विरोधात हे घडत आहे. या उपाययोजनांमुळे शेतकऱ्यांच्या संयमाचा कडेलोट झाला. त्यामुळे महागाई, मंदी आणि शासनाने लादलेल्या साधेपणाच्या ओझ्याने वैतागलेले अन्य कामगारही भडकून एकजूट झाले. 9 जानेवारी रोजी, राष्ट्रीय रेल्वे डॉईच बानमधील माल आणि प्रवासी वाहतुकीच्या चालकांनी कामाचे तास आणि वेतनाच्या मुद्यावरून संप पुकारला."
"ખેડૂતોની ચિંતાને ઓછી કરવાના પ્રયત્નમાં, સરકાર ડીઝલની સબસિડીને અંતે ત્રણ વર્ષમાં ક્રમિક રીતે કાઢી નાખવા અને કાર ટેક્સની છૂટને યથાવત્ રાખવા માટે સંમત થઈ છે. ખેડૂતોએ રાહતોને અપૂરતી જણાવી છે. 4થી જાન્યુઆરીએ તેમાંના એક આક્રામક સમૂહે અર્થવ્યવસ્થા મંત્રી, રોબર્ટ હૅબેકને કૌટુંબિક રજાઓ માણીને પાછા ફરતી વખતે નૌકામાંથી ઉતરતા અટકાવ્યા. IW Köln, એક થિંક-ટેંકનું માનવું છે કે જો ટ્રેન ડ્રાઇવરો પણ આ જ રીતે અપ્રભાવિત રહે, તો જર્મન વ્યવસાય માટે ખૂબ મોંઘું સાબિત થઈ શકે છે. રેલની હડતાળને લીધે જો વ્યવસાય બંધ રાખવા મજબૂર કરવામાં આવે તો તે વ્યવસાયોને દિવસ દીઠ €100m ($110m) જેટલું નુકસાન થઈ શકે છે. જર્મનીના સૌથી મોટા કાર, રસાયણ અને સ્ટીલ ઉદ્યોગ ખાસ કરીને રેલ ટ્રાન્સપોર્ટ પર નિર્ભર છે.","शेतकऱ्यांसह संघर्ष समाप्त करण्याच्या प्रयत्नात, शासनाने डिझेलचे अनुदान तीन वर्षांच्या काळात हळूहळू कमी करण्याचे आणि कार करातील सवलत कायम राखण्याचे मान्य केले. मात्र दिलेली सवलत अपुरी असल्याचे सांगून शेतकऱ्यांनी ती फेटाळून लावली. 4 जानेवारी रोजी अर्थमंत्री रॉबर्ट हाबेक कौटुंबिक सुट्टीवरून परतत असताना शेतकऱ्यांच्या एका आक्रमक गटाने त्यांना बोटीतून उतरण्यापासून रोखले. जर रेल्वे चालकही इतकेच नाराज असतील, तर ते जर्मन व्यवसायाला खूप महाग पडेल, असे IW Köln,या थिंक टँकचे म्हणणे आहे. रेल्वे संपामुळे व्यवसायांना त्यांचे उत्पादन थांबवावे लागल्यास, त्यांचे दिवसाला €100m ($110m) नुकसान होऊ शकते. जर्मनीतील सर्वात मोठे उद्योग कार, रसायन आणि स्टील हे प्रामुख्याने रेल्वे वाहतुकीवर अवलंबून असतात."
